Product_Name,Category,Brand,Price,Rating,Review_Text,Skin_Type,Age_Group,Purchase_Platform,Recommendation
Colorbar Highlighter Military,Highlighter,Colorbar,2053.18,3,Average product — didn’t see a huge difference.,Combination,55+,Brand Website,No
Chanel Lip Gloss Including,Lip Gloss,Chanel,1690.17,5,Does exactly what it claims. My go-to product now!,Normal,25-34,Tira Beauty,Yes
Huda Beauty Lip Gloss Keep,Lip Gloss,Huda Beauty,605.14,5,Great texture and long-lasting effect — definitely worth the price!,Sensitive,25-34,Brand Website,Yes
MAC Highlighter Risk,Highlighter,MAC,2096.03,5,Perfect for my skin type. I can already see a glow after a few uses.,Dry,35-44,Sephora,Yes
Clinique Toner Others,Toner,Clinique,841.71,4,Great texture and long-lasting effect — definitely worth the price!,Oily,25-34,Tira Beauty,Yes
L'Oréal Countour Debate,Countour,L'Oréal,2096.66,5,Perfect for my skin type. I can already see a glow after a few uses.,Oily,55+,Tira Beauty,Yes
MAC Moisturizer Every,Moisturizer,MAC,3144.09,4,Great texture and long-lasting effect — definitely worth the price!,Combination,25-34,Tira Beauty,Yes
Dior Bronzer Produce,Bronzer,Dior,1114.83,3,"Decent product for the price, but texture could be better.",Normal,35-44,Brand Website,No
MAC BB Cream Drug,BB Cream,MAC,2289.13,5,Affordable yet effective — my skin has never looked better!,Combination,25-34,Nykaa,Yes
The Ordinary Lipstick Happen,Lipstick,The Ordinary,1963.71,5,Lightweight and hydrating. It blends beautifully and feels premium.,Dry,25-34,Flipkart,Yes
Rare Beauty Cleanser Grow,Cleanser,Rare Beauty,1739.92,4,Smells amazing and the packaging is super cute. Highly recommend!,Combination,45-54,Flipkart,Yes
Estee Lauder Blush However,Blush,Estee Lauder,1490.93,4,Lightweight and hydrating. It blends beautifully and feels premium.,Dry,55+,Tira Beauty,Yes
Kylie Cosmetics CC Cream Walk,CC Cream,Kylie Cosmetics,1404.16,2,Made my skin break out. Wouldn’t recommend.,Sensitive,25-34,Amazon,No
Huda Beauty Lipstick Answer,Lipstick,Huda Beauty,2358.1,5,Affordable yet effective — my skin has never looked better!,Sensitive,35-44,Nykaa,Yes
Rare Beauty Color Corrector Note,Color Corrector,Rare Beauty,330.86,3,"Decent product for the price, but texture could be better.",Normal,35-44,Tira Beauty,No
MAC CC Cream Go,CC Cream,MAC,2984.85,5,Absolutely love this product! My skin feels so smooth and radiant.,Oily,25-34,Flipkart,Yes
Maybelline Color Corrector Air,Color Corrector,Maybelline,1858.88,3,"It’s okay, not bad but not great either.",Dry,18-24,Flipkart,No
Clinique CC Cream Laugh,CC Cream,Clinique,911.12,2,Smells weird and the texture feels heavy.,Dry,35-44,Nykaa,No
The Ordinary BB Cream Pretty,BB Cream,The Ordinary,448.24,5,Absolutely love this product! My skin feels so smooth and radiant.,Normal,55+,Nykaa,Yes
Huda Beauty Highlighter Data,Highlighter,Huda Beauty,2361.72,2,Totally disappointed. Waste of money.,Dry,35-44,Flipkart,No
L'Oréal Cleanser Real,Cleanser,L'Oréal,2638.26,5,Does exactly what it claims. My go-to product now!,Normal,18-24,Flipkart,Yes
Kylie Cosmetics Toner Expect,Toner,Kylie Cosmetics,1439.08,2,Too oily and sticky for my skin type.,Oily,35-44,Tira Beauty,No
Chanel Toner Go,Toner,Chanel,2845.12,5,Great texture and long-lasting effect — definitely worth the price!,Sensitive,25-34,Nykaa,Yes
Colorbar Sheet Mask Buy,Sheet Mask,Colorbar,1332.16,3,Takes time to show results. Not sure if I’d repurchase.,Combination,45-54,Sephora,No
Minimalist Lip Gloss Begin,Lip Gloss,Minimalist,1527.67,5,Absolutely love this product! My skin feels so smooth and radiant.,Dry,45-54,Brand Website,Yes
Kylie Cosmetics Bronzer Though,Bronzer,Kylie Cosmetics,3042.46,4,Great texture and long-lasting effect — definitely worth the price!,Oily,55+,Sephora,Yes
Colorbar Serum You,Serum,Colorbar,923.03,2,Totally disappointed. Waste of money.,Dry,55+,Sephora,No
Huda Beauty Exfoliator Nor,Exfoliator,Huda Beauty,883.12,5,Perfect for my skin type. I can already see a glow after a few uses.,Dry,25-34,Nykaa,Yes
Chanel Moisturizer Fall,Moisturizer,Chanel,3291.42,4,Perfect for my skin type. I can already see a glow after a few uses.,Sensitive,35-44,Myntra,Yes
Chanel BB Cream Dinner,BB Cream,Chanel,379.99,5,Great texture and long-lasting effect — definitely worth the price!,Sensitive,55+,Brand Website,Yes
Lakme BB Cream Property,BB Cream,Lakme,2050.24,5,Smells amazing and the packaging is super cute. Highly recommend!,Oily,45-54,Myntra,Yes
Estee Lauder Sheet Mask Past,Sheet Mask,Estee Lauder,1408.78,2,Smells weird and the texture feels heavy.,Dry,45-54,Flipkart,No
Clinique Toner Say,Toner,Clinique,1741.93,2,Didn’t work for my skin at all. Caused mild irritation.,Normal,18-24,Myntra,No
Chanel Serum Chance,Serum,Chanel,1920.13,3,"Works fine, but I’ve used better alternatives.",Normal,45-54,Myntra,No
MAC Lipstick Down,Lipstick,MAC,859.43,5,One of the best products I’ve tried! Totally satisfied.,Dry,25-34,Tira Beauty,Yes
Chanel Toner Affect,Toner,Chanel,2558.99,5,Does exactly what it claims. My go-to product now!,Normal,35-44,Amazon,Yes
Lakme Foundation House,Foundation,Lakme,1461.41,4,Great texture and long-lasting effect — definitely worth the price!,Oily,25-34,Tira Beauty,Yes
Huda Beauty Sheet Mask Matter,Sheet Mask,Huda Beauty,1896.44,1,Too oily and sticky for my skin type.,Dry,25-34,Flipkart,No
Lakme Blush Factor,Blush,Lakme,2430.86,4,Lightweight and hydrating. It blends beautifully and feels premium.,Normal,35-44,Myntra,Yes
Dior Toner City,Toner,Dior,1687.96,5,Great texture and long-lasting effect — definitely worth the price!,Dry,25-34,Myntra,Yes
MAC Toner Old,Toner,MAC,1946.07,4,Affordable yet effective — my skin has never looked better!,Oily,25-34,Brand Website,Yes
Estee Lauder Exfoliator First,Exfoliator,Estee Lauder,2582.01,4,Perfect for my skin type. I can already see a glow after a few uses.,Normal,35-44,Flipkart,Yes
Kylie Cosmetics CC Cream Building,CC Cream,Kylie Cosmetics,484.9,4,One of the best products I’ve tried! Totally satisfied.,Oily,18-24,Tira Beauty,Yes
Clinique Color Corrector Question,Color Corrector,Clinique,1585.01,1,Didn’t work for my skin at all. Caused mild irritation.,Normal,35-44,Nykaa,No
Estee Lauder CC Cream Cold,CC Cream,Estee Lauder,327.67,5,One of the best products I’ve tried! Totally satisfied.,Combination,35-44,Sephora,Yes
Kylie Cosmetics CC Cream Bring,CC Cream,Kylie Cosmetics,3412.83,3,"It’s okay, not bad but not great either.",Dry,18-24,Brand Website,No
L'Oréal Highlighter Painting,Highlighter,L'Oréal,2911.53,5,Great texture and long-lasting effect — definitely worth the price!,Sensitive,25-34,Sephora,Yes
The Ordinary Clay Mask Control,Clay Mask,The Ordinary,2894.98,4,Affordable yet effective — my skin has never looked better!,Oily,35-44,Flipkart,Yes
Dior Sheet Mask Step,Sheet Mask,Dior,2503.02,1,Not worth the hype. I regret buying it.,Normal,55+,Nykaa,No
MAC Countour Deep,Countour,MAC,2715.49,1,Didn’t work for my skin at all. Caused mild irritation.,Sensitive,35-44,Brand Website,No
L'Oréal Blush Deep,Blush,L'Oréal,1917.39,5,Great texture and long-lasting effect — definitely worth the price!,Combination,45-54,Tira Beauty,Yes
L'Oréal Moisturizer Into,Moisturizer,L'Oréal,1244.45,4,Affordable yet effective — my skin has never looked better!,Combination,35-44,Sephora,Yes
Colorbar Bronzer Offer,Bronzer,Colorbar,1984.72,3,Average product — didn’t see a huge difference.,Dry,18-24,Brand Website,No
Kylie Cosmetics Blush Conference,Blush,Kylie Cosmetics,1644.93,4,Does exactly what it claims. My go-to product now!,Sensitive,35-44,Flipkart,Yes
Colorbar Sunscreen Share,Sunscreen,Colorbar,2362.19,3,Average product — didn’t see a huge difference.,Sensitive,45-54,Flipkart,No
L'Oréal Lipstick Reduce,Lipstick,L'Oréal,2990.54,4,Absolutely love this product! My skin feels so smooth and radiant.,Dry,25-34,Tira Beauty,Yes
Dior Clay Mask Teacher,Clay Mask,Dior,3252.37,1,Totally disappointed. Waste of money.,Sensitive,25-34,Sephora,No
Kylie Cosmetics Face Oil Morning,Face Oil,Kylie Cosmetics,1482.12,2,Didn’t work for my skin at all. Caused mild irritation.,Sensitive,45-54,Flipkart,No
Chanel Lipstick Go,Lipstick,Chanel,2362.63,2,Smells weird and the texture feels heavy.,Sensitive,45-54,Flipkart,No
Charlotte Tilbury Sheet Mask On,Sheet Mask,Charlotte Tilbury,2651.83,2,Smells weird and the texture feels heavy.,Oily,45-54,Brand Website,No
MAC Blush Coach,Blush,MAC,2903.55,1,Too oily and sticky for my skin type.,Normal,55+,Flipkart,No
Rare Beauty Countour Nice,Countour,Rare Beauty,2657.58,3,"It’s okay, not bad but not great either.",Oily,45-54,Brand Website,No
Estee Lauder Sunscreen Tv,Sunscreen,Estee Lauder,771.84,4,Perfect for my skin type. I can already see a glow after a few uses.,Dry,25-34,Brand Website,Yes
Colorbar Serum Push,Serum,Colorbar,2716.59,5,Does exactly what it claims. My go-to product now!,Sensitive,45-54,Tira Beauty,Yes
Colorbar Blush Play,Blush,Colorbar,1392.01,3,Average product — didn’t see a huge difference.,Normal,25-34,Amazon,No
Kylie Cosmetics Sunscreen Rule,Sunscreen,Kylie Cosmetics,2510.8,3,Average product — didn’t see a huge difference.,Sensitive,18-24,Tira Beauty,No
MAC Lip Gloss Guess,Lip Gloss,MAC,1983.86,4,Lightweight and hydrating. It blends beautifully and feels premium.,Sensitive,55+,Tira Beauty,Yes
Lakme Color Corrector Age,Color Corrector,Lakme,2837.09,2,Not worth the hype. I regret buying it.,Oily,25-34,Flipkart,No
Minimalist Bronzer Up,Bronzer,Minimalist,699.33,2,Too oily and sticky for my skin type.,Sensitive,25-34,Sephora,No
Chanel Clay Mask Although,Clay Mask,Chanel,354.3,1,Didn’t work for my skin at all. Caused mild irritation.,Normal,25-34,Nykaa,No
Minimalist BB Cream Billion,BB Cream,Minimalist,376.82,4,One of the best products I’ve tried! Totally satisfied.,Normal,18-24,Nykaa,Yes
Estee Lauder Lip Gloss Organization,Lip Gloss,Estee Lauder,1401.09,2,Smells weird and the texture feels heavy.,Combination,55+,Tira Beauty,No
Colorbar Sunscreen Soon,Sunscreen,Colorbar,321.81,5,Absolutely love this product! My skin feels so smooth and radiant.,Combination,25-34,Sephora,Yes
The Ordinary Highlighter Example,Highlighter,The Ordinary,1879.61,5,Smells amazing and the packaging is super cute. Highly recommend!,Dry,35-44,Sephora,Yes
The Ordinary Exfoliator Military,Exfoliator,The Ordinary,2478.1,2,Too oily and sticky for my skin type.,Normal,55+,Tira Beauty,No
Dior Color Corrector Kitchen,Color Corrector,Dior,527.25,2,Too oily and sticky for my skin type.,Dry,55+,Flipkart,No
Colorbar Cleanser Run,Cleanser,Colorbar,2074.4,5,Great texture and long-lasting effect — definitely worth the price!,Dry,35-44,Myntra,Yes
The Ordinary Bronzer Explain,Bronzer,The Ordinary,3035.24,2,Made my skin break out. Wouldn’t recommend.,Combination,45-54,Brand Website,No
The Ordinary Toner Some,Toner,The Ordinary,272.92,4,Perfect for my skin type. I can already see a glow after a few uses.,Sensitive,35-44,Flipkart,Yes
MAC CC Cream Agent,CC Cream,MAC,929.74,2,Not worth the hype. I regret buying it.,Oily,45-54,Amazon,No
Maybelline BB Cream Key,BB Cream,Maybelline,2213.02,1,Not worth the hype. I regret buying it.,Oily,25-34,Sephora,No
Colorbar Sunscreen Pay,Sunscreen,Colorbar,1074.58,4,Smells amazing and the packaging is super cute. Highly recommend!,Normal,55+,Sephora,Yes
Charlotte Tilbury BB Cream Pay,BB Cream,Charlotte Tilbury,2022.32,2,Made my skin break out. Wouldn’t recommend.,Dry,35-44,Nykaa,No
Lakme Exfoliator Road,Exfoliator,Lakme,2866.28,3,Takes time to show results. Not sure if I’d repurchase.,Dry,25-34,Flipkart,No
Clinique Cleanser Compare,Cleanser,Clinique,377.77,5,Smells amazing and the packaging is super cute. Highly recommend!,Oily,45-54,Flipkart,Yes
Rare Beauty Face Oil Research,Face Oil,Rare Beauty,1640.66,5,Perfect for my skin type. I can already see a glow after a few uses.,Sensitive,35-44,Myntra,Yes
The Ordinary Sunscreen Our,Sunscreen,The Ordinary,2154.39,1,Smells weird and the texture feels heavy.,Oily,55+,Nykaa,No
Huda Beauty Countour Lead,Countour,Huda Beauty,2745.54,4,Affordable yet effective — my skin has never looked better!,Sensitive,45-54,Nykaa,Yes
Charlotte Tilbury Highlighter Fire,Highlighter,Charlotte Tilbury,1766.35,2,Made my skin break out. Wouldn’t recommend.,Combination,35-44,Nykaa,No
Rare Beauty Color Corrector Keep,Color Corrector,Rare Beauty,1011.74,4,Perfect for my skin type. I can already see a glow after a few uses.,Dry,45-54,Brand Website,Yes
Fenty Beauty Moisturizer Score,Moisturizer,Fenty Beauty,228.43,3,"Decent product for the price, but texture could be better.",Dry,55+,Flipkart,No
Huda Beauty Cleanser System,Cleanser,Huda Beauty,1261.72,1,Too oily and sticky for my skin type.,Oily,45-54,Tira Beauty,No
Chanel Lipstick World,Lipstick,Chanel,598.77,2,Didn’t work for my skin at all. Caused mild irritation.,Oily,18-24,Brand Website,No
MAC BB Cream Perform,BB Cream,MAC,2211.83,1,Smells weird and the texture feels heavy.,Dry,18-24,Myntra,No
Maybelline Exfoliator So,Exfoliator,Maybelline,2657.16,3,Takes time to show results. Not sure if I’d repurchase.,Combination,25-34,Sephora,No
Lakme Color Corrector Discussion,Color Corrector,Lakme,389.21,4,Does exactly what it claims. My go-to product now!,Combination,35-44,Flipkart,Yes
Clinique Face Oil Hold,Face Oil,Clinique,1828.87,5,Does exactly what it claims. My go-to product now!,Combination,45-54,Nykaa,Yes
Chanel Color Corrector Maybe,Color Corrector,Chanel,368.92,1,Totally disappointed. Waste of money.,Oily,55+,Brand Website,No
Maybelline Toner Shoulder,Toner,Maybelline,675.48,5,Affordable yet effective — my skin has never looked better!,Dry,25-34,Brand Website,Yes
Dior Toner Although,Toner,Dior,2940.46,5,Affordable yet effective — my skin has never looked better!,Dry,35-44,Brand Website,Yes
L'Oréal Countour Big,Countour,L'Oréal,283.4,5,Lightweight and hydrating. It blends beautifully and feels premium.,Dry,35-44,Flipkart,Yes
Kylie Cosmetics Highlighter Play,Highlighter,Kylie Cosmetics,406.2,5,Great texture and long-lasting effect — definitely worth the price!,Oily,45-54,Amazon,Yes
Rare Beauty Highlighter Few,Highlighter,Rare Beauty,1041.59,4,Lightweight and hydrating. It blends beautifully and feels premium.,Normal,18-24,Nykaa,Yes
MAC BB Cream Edge,BB Cream,MAC,2908.97,4,One of the best products I’ve tried! Totally satisfied.,Sensitive,45-54,Tira Beauty,Yes
Huda Beauty Foundation Information,Foundation,Huda Beauty,2773.78,3,Average product — didn’t see a huge difference.,Normal,18-24,Sephora,No
Colorbar BB Cream Those,BB Cream,Colorbar,945.07,5,Smells amazing and the packaging is super cute. Highly recommend!,Oily,45-54,Nykaa,Yes
Minimalist Bronzer Purpose,Bronzer,Minimalist,1648.2,1,Not worth the hype. I regret buying it.,Sensitive,18-24,Flipkart,No
Clinique Lipstick Something,Lipstick,Clinique,1806.75,2,Totally disappointed. Waste of money.,Dry,55+,Tira Beauty,No
Colorbar Serum Star,Serum,Colorbar,2413.74,1,Didn’t work for my skin at all. Caused mild irritation.,Normal,18-24,Nykaa,No
Minimalist Foundation South,Foundation,Minimalist,428.3,4,Perfect for my skin type. I can already see a glow after a few uses.,Oily,18-24,Sephora,Yes
The Ordinary Sunscreen Age,Sunscreen,The Ordinary,2029.84,4,One of the best products I’ve tried! Totally satisfied.,Normal,55+,Myntra,Yes
Maybelline Countour Despite,Countour,Maybelline,779.13,1,Totally disappointed. Waste of money.,Normal,18-24,Amazon,No
Estee Lauder BB Cream And,BB Cream,Estee Lauder,455.99,4,Lightweight and hydrating. It blends beautifully and feels premium.,Oily,25-34,Sephora,Yes
Clinique Moisturizer Rise,Moisturizer,Clinique,2933.26,4,Affordable yet effective — my skin has never looked better!,Normal,35-44,Brand Website,Yes
Chanel BB Cream Data,BB Cream,Chanel,1397.45,2,Not worth the hype. I regret buying it.,Combination,35-44,Myntra,No
Fenty Beauty CC Cream Same,CC Cream,Fenty Beauty,2058.67,2,Too oily and sticky for my skin type.,Sensitive,35-44,Brand Website,No
Kylie Cosmetics Countour Southern,Countour,Kylie Cosmetics,2561.86,5,Affordable yet effective — my skin has never looked better!,Dry,55+,Tira Beauty,Yes
Estee Lauder Sunscreen Young,Sunscreen,Estee Lauder,3059.07,5,Affordable yet effective — my skin has never looked better!,Dry,18-24,Tira Beauty,Yes
Rare Beauty Sheet Mask Forget,Sheet Mask,Rare Beauty,2377.04,5,One of the best products I’ve tried! Totally satisfied.,Combination,18-24,Brand Website,Yes
Chanel Highlighter Move,Highlighter,Chanel,915.6,3,"It’s okay, not bad but not great either.",Sensitive,18-24,Brand Website,No
Clinique Blush Both,Blush,Clinique,455.76,3,"It’s okay, not bad but not great either.",Oily,18-24,Myntra,No
Minimalist Cleanser Board,Cleanser,Minimalist,1197.71,5,One of the best products I’ve tried! Totally satisfied.,Dry,25-34,Brand Website,Yes
Clinique Face Oil Husband,Face Oil,Clinique,2872.89,4,One of the best products I’ve tried! Totally satisfied.,Normal,55+,Sephora,Yes
Fenty Beauty Sheet Mask Bank,Sheet Mask,Fenty Beauty,3257.47,5,Affordable yet effective — my skin has never looked better!,Combination,45-54,Tira Beauty,Yes
The Ordinary Moisturizer Coach,Moisturizer,The Ordinary,1803.33,3,"Decent product for the price, but texture could be better.",Sensitive,55+,Nykaa,No
Lakme Cleanser Rule,Cleanser,Lakme,235.31,5,Smells amazing and the packaging is super cute. Highly recommend!,Sensitive,18-24,Brand Website,Yes
Rare Beauty Clay Mask We,Clay Mask,Rare Beauty,535.61,4,Perfect for my skin type. I can already see a glow after a few uses.,Dry,25-34,Nykaa,Yes
MAC Foundation Long,Foundation,MAC,3488.45,1,Smells weird and the texture feels heavy.,Normal,45-54,Amazon,No
Kylie Cosmetics Sunscreen Game,Sunscreen,Kylie Cosmetics,2883.24,5,Lightweight and hydrating. It blends beautifully and feels premium.,Sensitive,25-34,Brand Website,Yes
L'Oréal Lipstick Physical,Lipstick,L'Oréal,1010.93,3,"Works fine, but I’ve used better alternatives.",Dry,25-34,Nykaa,No
Clinique Sheet Mask Economic,Sheet Mask,Clinique,3208.74,5,One of the best products I’ve tried! Totally satisfied.,Combination,45-54,Brand Website,Yes
Maybelline Color Corrector Realize,Color Corrector,Maybelline,2702.19,5,Absolutely love this product! My skin feels so smooth and radiant.,Normal,55+,Myntra,Yes
L'Oréal Face Oil Try,Face Oil,L'Oréal,1828.59,2,Totally disappointed. Waste of money.,Combination,55+,Amazon,No
The Ordinary Cleanser Positive,Cleanser,The Ordinary,2599.06,1,Too oily and sticky for my skin type.,Normal,25-34,Brand Website,No
Maybelline Highlighter With,Highlighter,Maybelline,2259.53,1,Too oily and sticky for my skin type.,Combination,18-24,Sephora,No
Maybelline Toner Customer,Toner,Maybelline,1605.9,2,Not worth the hype. I regret buying it.,Sensitive,35-44,Sephora,No
Fenty Beauty Color Corrector Artist,Color Corrector,Fenty Beauty,3189.99,2,Totally disappointed. Waste of money.,Dry,45-54,Brand Website,No
Chanel Lipstick Wrong,Lipstick,Chanel,2083.3,3,Average product — didn’t see a huge difference.,Combination,45-54,Myntra,No
Clinique Bronzer Threat,Bronzer,Clinique,1434.41,4,Does exactly what it claims. My go-to product now!,Combination,35-44,Tira Beauty,Yes
Lakme Clay Mask General,Clay Mask,Lakme,3158.67,1,Didn’t work for my skin at all. Caused mild irritation.,Oily,55+,Myntra,No
Maybelline Toner Fill,Toner,Maybelline,996.84,3,"It’s okay, not bad but not great either.",Normal,25-34,Tira Beauty,No
